loss:1.4764 accuracy:0.7291

loss:1.4603 accuracy:0.7316

loss:1.4634 accuracy:0.7323

loss:1.4453 accuracy:0.7355

loss:1.4510 accuracy:0.7352

loss:1.4589 accuracy:0.7322

loss:1.4408 accuracy:0.7365

loss:1.4257 accuracy:0.7402

loss:1.4454 accuracy:0.7334

loss:1.4365 accuracy:0.7361

loss:1.4195 accuracy:0.7410

loss:1.4230 accuracy:0.7385

loss:1.4132 accuracy:0.7413

loss:1.4161 accuracy:0.7401

loss:1.4136 accuracy:0.7393

loss:1.4108 accuracy:0.7395

loss:1.4165 accuracy:0.7386

loss:1.4135 accuracy:0.7396

loss:1.3976 accuracy:0.7425

loss:1.3952 accuracy:0.7435

loss:1.3950 accuracy:0.7446

loss:1.3885 accuracy:0.7441

loss:1.3922 accuracy:0.7432

loss:1.3878 accuracy:0.7439

loss:1.3799 accuracy:0.7463

loss:1.3748 accuracy:0.7480

loss:1.3710 accuracy:0.7475

loss:1.3644 accuracy:0.7494

loss:1.3625 accuracy:0.7484

loss:1.3625 accuracy:0.7499

loss:1.3677 accuracy:0.7464

loss:1.3661 accuracy:0.7468

loss:1.3549 accuracy:0.7508

loss:1.3521 accuracy:0.7508

loss:1.3629 accuracy:0.7478

loss:1.3436 accuracy:0.7523

loss:1.3533 accuracy:0.7482

loss:1.3403 accuracy:0.7506

loss:1.3382 accuracy:0.7525

loss:1.3377 accuracy:0.7519

loss:1.3380 accuracy:0.7504

loss:1.3265 accuracy:0.7545

loss:1.3351 accuracy:0.7519

loss:1.3233 accuracy:0.7568

loss:1.3238 accuracy:0.7550

loss:1.3217 accuracy:0.7535

loss:1.3154 accuracy:0.7564

loss:1.3188 accuracy:0.7556

loss:1.3071 accuracy:0.7567

loss:1.2994 accuracy:0.7607

loss:1.3107 accuracy:0.7560

loss:1.3109 accuracy:0.7554

loss:1.3046 accuracy:0.7581

loss:1.3045 accuracy:0.7564

loss:1.3034 accuracy:0.7563

loss:1.3058 accuracy:0.7561

loss:1.2906 accuracy:0.7595

loss:1.2951 accuracy:0.7573

loss:1.2870 accuracy:0.7604

loss:1.2849 accuracy:0.7614

loss:1.2847 accuracy:0.7614

loss:1.2928 accuracy:0.7586

loss:1.2915 accuracy:0.7597

loss:1.2836 accuracy:0.7602

loss:1.2849 accuracy:0.7593

loss:1.2769 accuracy:0.7620

loss:1.2763 accuracy:0.7616

loss:1.2741 accuracy:0.7615

loss:1.2810 accuracy:0.7606

loss:1.2705 accuracy:0.7626

loss:1.2708 accuracy:0.7610

loss:1.2659 accuracy:0.7621

loss:1.2653 accuracy:0.7637

loss:1.2714 accuracy:0.7625

loss:1.2568 accuracy:0.7643

loss:1.2616 accuracy:0.7633

loss:1.2499 accuracy:0.7650

loss:1.2553 accuracy:0.7656

loss:1.2626 accuracy:0.7623

loss:1.2500 accuracy:0.7666

loss:1.2548 accuracy:0.7651

loss:1.2902 accuracy:0.7567
